OBJECTID,CollarID,Date_MMDDY,Speed_mph,Heading,y,x
70737,881,1/24/2009,0,330,40.3637,-105.560316
150150,856,1/30/2009,0,140,40.363725,-105.560316
71010,881,2/18/2009,0,280,40.36345,-105.560316
71280,881,3/8/2009,0,235,40.363475,-105.560316
151802,856,3/10/2009,0,310,40.363625,-105.560316
153101,856,4/6/2009,0,65,40.363475,-105.560316
147495,856,11/22/2008,0,150,40.364075,-105.560308
147745,856,11/27/2008,0,60,40.363475,-105.560308
147770,856,11/27/2008,0,315,40.363558,-105.560308
69073,881,11/28/2008,0,40,40.363658,-105.560308
147947,856,12/1/2008,0,30,40.363241,-105.560308
69580,881,12/9/2008,0,290,40.3635,-105.560308
