OBJECTID,CollarID,Date_MMDDY,Speed_mph,Heading,y,x,within_park,elevation,land_cover
69027,881,11/28/2008,0.0,330,40.363716,-105.560541,True,2373.5908,52.0
69020,881,11/27/2008,0.0,245,40.363466,-105.560533,True,2372.4934,52.0
70468,881,1/5/2009,0.0,310,40.363991,-105.560533,True,2374.3916,52.0
146918,856,11/10/2008,0.0,295,40.363566,-105.560525,True,2372.7615,52.0
69953,881,12/23/2008,0.0,210,40.363408,-105.560525,True,2371.9111,52.0
70105,881,12/27/2008,0.0,80,40.363633,-105.560525,True,2373.2612,52.0
149357,856,1/6/2009,0.0,120,40.363775,-105.560525,True,2373.5908,52.0
146994,856,11/11/2008,0.0,30,40.363,-105.560516,True,2367.1628,52.0
68997,881,11/27/2008,0.0,45,40.3634,-105.560516,True,2371.9111,52.0
148421,856,12/13/2008,0.0,140,40.363966,-105.560516,True,2374.0466,52.0
69940,881,12/23/2008,0.0,40,40.363025,-105.560516,True,2367.1628,52.0
152463,856,3/24/2009,0.0,215,40.363041,-105.560516,True,2367.1628,52.0
152652,856,3/28/2009,0.0,245,40.3634,-105.560516,True,2371.9111,52.0
68177,881,11/10/2008,0.0,310,40.363516,-105.560508,True,2372.4934,52.0
147697,856,11/26/2008,0.0,45,40.363225,-105.560508,True,2370.063,52.0
151168,856,2/24/2009,0.0,60,40.363158,-105.560508,True,2370.063,52.0
152339,856,3/21/2009,0.0,315,40.36385,-105.560508,True,2373.7812,52.0
71785,881,4/8/2009,0.0,160,40.364666,-105.560508,True,2378.7195,52.0
147058,856,11/12/2008,0.0,235,40.363508,-105.5605,True,2372.4934,52.0
69024,881,11/27/2008,0.0,90,40.3635,-105.5605,True,2372.4934,52.0
148662,856,12/20/2008,42.6,215,40.362533,-105.5605,True,2365.0034,52.0
149793,856,1/20/2009,0.0,40,40.363183,-105.5605,True,2370.063,52.0
150683,856,2/13/2009,0.0,225,40.362941,-105.5605,True,2364.4912,52.0
71331,881,3/12/2009,0.0,25,40.362175,-105.5605,True,2369.3843,52.0
147374,856,11/19/2008,0.0,215,40.362883,-105.560491,True,2364.4912,52.0
69218,881,12/1/2008,0.0,110,40.3636,-105.560491,True,2372.7615,52.0
148570,856,12/18/2008,0.0,345,40.3643,-105.560491,True,2375.1938,52.0
70217,881,12/30/2008,0.0,345,40.3635,-105.560491,True,2372.4934,52.0
